Feature,Importance
amt_log,0.6142998914787846
amt_sum_recent,0.24569052235595695
hour_cos,0.05335329842140847
city_target_enc,0.03994045384272719
category_target_enc,0.02415487427798158
txn_count_recent,0.008031654982036826
hour_sin,0.0059343609489880015
merchant_target_enc,0.002430756191045036
time_diff_hours,0.0017298778982464923
amt_zscore_expanding,0.0013143813629090055
first_digit,0.0008686313842241044
avg_amt_expanding,0.0008602708089861329
stddev_amt_expanding,0.000404046465534054
idade,0.00029167750145037494
city_pop_log,0.0002503194310163704
job_target_enc,0.00021665903615680876
gender_F,7.885100005822026e-05
month,6.074969353297798e-05
state_target_enc,4.777850480840019e-05
dow_cos,2.398503981227925e-05
distance_km,1.695937433627408e-05
transaction_velocity_kmh,0.0
dow_sin,0.0
impossible_velocity,0.0
last_digit,0.0
