Feature,Importance
amt_is_outlier,0.29071888
amt_log,0.20556186
amt_sum_recent,0.13514894
amt_zscore_expanding,0.07570069
hour_cos,0.067817494
category_target_enc,0.041374475
city_target_enc,0.032110628
txn_count_recent,0.025069797
first_digit,0.02252986
hour_sin,0.019588504
avg_amt_expanding,0.013126752
merchant_target_enc,0.012807174
time_diff_hours,0.010300861
gender_M,0.0073660216
gender_F,0.006407247
job_target_enc,0.006341134
idade,0.0058664684
stddev_amt_expanding,0.0036948815
month,0.0036380584
city_pop_log,0.003360369
dow_cos,0.0031077324
state_target_enc,0.0026114453
dow_sin,0.0025706633
distance_km,0.0018138522
last_digit,0.0013662387
